"Time (s) Run #1","Position (m) Run #1"
17.650,0.4208
17.700,0.4597
17.750,0.4990
17.800,0.5335
17.850,0.5642
17.900,0.5898
17.950,0.6099
18.000,0.6238
18.050,0.6336
18.100,0.6348
18.150,0.6274
18.200,0.6154
18.250,0.5972
18.300,0.5732
18.350,0.5442
18.400,0.5109
18.450,0.4746
18.500,0.4342
18.550,0.3953
18.600,0.3570
18.650,0.3181
18.700,0.2848
18.750,0.2542
18.800,0.2305
18.850,0.2131
18.900,0.2023
18.950,0.1983
19.000,0.2011
19.050,0.2110
19.100,0.2274
19.150,0.2495
19.200,0.2795
19.250,0.3122
19.300,0.3499
19.350,0.3884
19.400,0.4269
19.450,0.4674
19.500,0.5042
19.550,0.5380
19.600,0.5676
19.650,0.5924
19.700,0.6115
19.750,0.6246
19.800,0.6331
19.850,0.6333
19.900,0.6248
19.950,0.6118
20.000,0.5929
20.050,0.5684
20.100,0.5387
20.150,0.5050
20.200,0.4684
20.250,0.4280
20.300,0.3892
20.350,0.3513
20.400,0.3133
20.450,0.2807
20.500,0.2508
20.550,0.2286
20.600,0.2124
20.650,0.2025
20.700,0.1998
20.750,0.2037
20.800,0.2144
20.850,0.2317
20.900,0.2546
20.950,0.2851
21.000,0.3184
21.050,0.3564
21.100,0.3947
21.150,0.4331
21.200,0.4732
21.250,0.5095
21.300,0.5426
21.350,0.5713
21.400,0.5950
21.450,0.6130
21.500,0.6272
21.550,0.6305
21.600,0.6317
21.650,0.6241
21.700,0.6082
21.750,0.5884
21.800,0.5631
21.850,0.5332
21.900,0.4992
21.950,0.4622
22.000,0.4218
22.050,0.3835
22.100,0.3458
22.150,0.3084
22.200,0.2767
22.250,0.2478
22.300,0.2265
22.350,0.2115
22.400,0.2028
22.450,0.2010
22.500,0.2059
22.550,0.2177
22.600,0.2355
22.650,0.2596
22.700,0.2908
22.750,0.3244
22.800,0.3626
22.850,0.4005
22.900,0.4393
22.950,0.4787
23.000,0.5145
23.050,0.5468
